Cell  Start Con    End Con  Flux
 1    .1000E+01  .1000E+01  .5000E+00
 2    .1000E+01  .1000E+01  .5000E+00
 3    .1000E+01  .1000E+01  .5000E+00
 4    .1000E+01  .1000E+01  .5000E+00
 5    .1000E+01  .1000E+01  .5000E+00
 6    .1000E+01  .1000E+01  .5000E+00
 7    .1000E+01  .1000E+01  .5000E+00
 8    .1000E+01  .1000E+01  .5000E+00
 9    .1000E+01  .1000E+01  .5000E+00
10    .1000E+01  .1000E+01  .5000E+00
11    .1000E+01  .1000E+01  .5000E+00
12    .1000E+01  .1000E+01  .5000E+00
13    .1000E+01  .1000E+01  .5000E+00
14    .1000E+01  .1000E+01  .5000E+00
15    .1000E+01  .1000E+01  .5000E+00
16    .1000E+01  .1000E+01  .5000E+00
17    .1000E+01  .1000E+01  .5000E+00
18    .1000E+01  .1000E+01  .5000E+00
19    .1000E+01  .1000E+01  .5000E+00
20    .1000E+01  .1000E+01  .5000E+00
21    .1000E+01  .1000E+01  .5000E+00
22    .1000E+01  .1000E+01  .5000E+00
23    .1000E+01  .1000E+01  .5000E+00
24    .1000E+01  .1000E+01  .5000E+00
25    .1000E+01  .1000E+01  .5000E+00
26    .1000E+01  .1000E+01  .5000E+00
27    .1000E+01  .1000E+01  .5000E+00
28    .1000E+01  .1000E+01  .5000E+00
29    .1000E+01  .1000E+01  .5000E+00
30    .1000E+01  .1000E+01  .5000E+00
31    .1000E+01  .1000E+01  .5000E+00
32    .1000E+01  .1000E+01  .5000E+00
33    .1000E+01  .1000E+01  .5000E+00
34    .1000E+01  .1000E+01  .5000E+00
35    .1000E+01  .1000E+01  .5000E+00
36    .1000E+01  .1000E+01  .5000E+00
37    .1000E+01  .1000E+01  .5000E+00
38    .1000E+01  .1000E+01  .5000E+00
39    .1000E+01  .1000E+01  .5000E+00
40    .1000E+01  .1000E+01  .5000E+00
41    .1000E+01  .1000E+01  .5000E+00
42    .1000E+01  .1000E+01  .5000E+00
43    .1000E+01  .1000E+01  .5000E+00
44    .1000E+01  .1000E+01  .5000E+00
45    .1000E+01  .1000E+01  .5000E+00
46    .1000E+01  .1000E+01  .5000E+00
47    .1000E+01  .1000E+01  .5000E+00
48    .1000E+01  .1000E+01  .5000E+00
49    .1000E+01  .1000E+01  .5000E+00
50    .1000E+01  .1000E+01  .5000E+00
51    .1000E+01  .1000E+01  .5000E+00
52    .1000E+01  .1000E+01  .5000E+00
53    .1000E+01  .1000E+01  .5000E+00
54    .1000E+01  .1000E+01  .5000E+00
55    .1000E+01  .1000E+01  .5000E+00
56    .1000E+01  .1000E+01  .5000E+00
57    .1000E+01  .1000E+01  .5000E+00
58    .1000E+01  .1000E+01  .5000E+00
59    .1000E+01  .1000E+01  .5000E+00
60    .1000E+01  .1000E+01  .5000E+00
61    .1000E+01  .1000E+01  .5000E+00
62    .1000E+01  .1000E+01  .5000E+00
63    .1000E+01  .1000E+01  .5000E+00
64    .1000E+01  .1000E+01  .5000E+00
65    .1000E+01  .1000E+01  .5000E+00
66    .1000E+01  .1000E+01  .5000E+00
67    .1000E+01  .1000E+01  .5000E+00
68    .1000E+01  .1000E+01  .5000E+00
69    .1000E+01  .1000E+01  .5000E+00
70    .1000E+01  .1000E+01  .5000E+00
71    .1000E+01  .1000E+01  .5000E+00
72    .1000E+01  .1000E+01  .5000E+00
73    .1000E+01  .1000E+01  .5000E+00
74    .1000E+01  .1000E+01  .5000E+00
75    .1000E+01  .1000E+01  .5000E+00
76    .1000E+01  .1000E+01  .5000E+00
77    .1000E+01  .1000E+01  .5000E+00
78    .1000E+01  .1000E+01  .5000E+00
79    .1000E+01  .1000E+01  .5000E+00
80    .1000E+01  .1000E+01  .5000E+00
81    .1000E+01  .1000E+01  .5000E+00
82    .1000E+01  .1000E+01  .5000E+00
83    .1000E+01  .1000E+01  .5000E+00
84    .1000E+01  .1000E+01  .5000E+00
85    .1000E+01  .1000E+01  .5000E+00
86    .1000E+01  .1000E+01  .5000E+00
87    .1000E+01  .1000E+01  .5000E+00
88    .1000E+01  .1000E+01  .5000E+00
89    .1000E+01  .1000E+01  .5000E+00
90    .1000E+01  .1000E+01  .0000E+00
